Frame,Sub Frame,"Reconstruction Position - Unlabeled Track (1045)",,,"Reconstruction Position - Unlabeled Track (1370)",,,"Reconstruction Position - Unlabeled Track (1373)",,,"Reconstruction Position - Unlabeled Track (1377)",,,"Reconstruction Position - Unlabeled Track (1383)",,,"Reconstruction Position - Unlabeled Track (1402)",,,"Reconstruction Position - Unlabeled Track (1404)",,,"Reconstruction Position - Unlabeled Track (1409)",,,"Reconstruction Position - Unlabeled Track (1430)",,,"Reconstruction Position - Unlabeled Track (1431)",,,"Reconstruction Position - Unlabeled Track (1432)",,,"Reconstruction Position - Unlabeled Track (1433)",,,"Reconstruction Position - Unlabeled Track (1438)",,,"Reconstruction Position - Unlabeled Track (1440)",,,"Reconstruction Position - Unlabeled Track (1442)",,
,,"TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ","TX","TY","TZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm","mm"
52,0,"-903.477","-652.403","1034.15","-1369.92","-533.014","980.036","-1197.92","-545.713","1604","-1056.62","-617.638","494.713","-1036.66","-687.468","125.494","-1000.64","-656.667","1334.6","-1181.98","-537.791","1212.08","-1440.72","-757.907","1029.04","-1003.7","-525.021","872.058","-1370.16","-668.894","145.511","-1308.36","-610.661","485.073","-1407.92","-670.876","1335.83","nan","nan","nan","nan","nan","nan","nan","nan","nan"
53,0,"-903.564","-652.286","1034.22","-1369.94","-532.946","980.062","-1198.02","-545.689","1604.05","-1056.61","-617.571","494.725","-1036.66","-687.45","125.502","-1000.72","-656.636","1334.7","-1182.05","-537.681","1212.14","-1440.79","-757.78","1029.04","-1003.77","-524.939","872.031","-1370.15","-668.879","145.469","-1308.37","-610.627","485.073","-1408","-670.827","1335.82","nan","nan","nan","nan","nan","nan","nan","nan","nan"
54,0,"-903.655","-652.122","1034.24","-1369.94","-532.856","980.061","-1198.1","-545.669","1604.05","-1056.6","-617.497","494.735","-1036.66","-687.457","125.482","-1000.75","-656.522","1334.79","-1182.14","-537.569","1212.2","-1440.84","-757.712","1029","-1003.87","-524.907","872.021","-1370.17","-668.884","145.507","-1308.4","-610.573","485.075","-1408.13","-670.731","1335.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
55,0,"-903.756","-652.048","1034.31","-1369.97","-532.776","980.064","-1198.21","-545.659","1604.08","-1056.56","-617.4","494.784","-1036.66","-687.455","125.49","-1000.79","-656.386","1334.83","-1182.21","-537.455","1212.25","-1440.9","-757.665","1028.98","-1003.92","-524.803","872.015","-1370.16","-668.878","145.479","-1308.43","-610.532","485.06","-1408.24","-670.658","1335.92","nan","nan","nan","nan","nan","nan","nan","nan","nan"
56,0,"-903.851","-651.96","1034.38","-1370.02","-533.023","980.348","-1198.31","-545.646","1604.08","-1056.53","-617.338","494.786","-1036.68","-687.427","125.491","-1000.89","-656.375","1334.9","-1182.29","-537.339","1212.35","-1440.96","-757.569","1028.95","-1003.96","-524.714","872.041","-1370.16","-668.872","145.449","-1308.45","-610.432","485.089","-1408.33","-670.613","1335.92","nan","nan","nan","nan","nan","nan","nan","nan","nan"
57,0,"-903.904","-651.805","1034.4","-1370.02","-532.635","980.068","-1198.42","-545.647","1604.07","-1056.49","-617.224","494.806","-1036.67","-687.42","125.485","-1000.98","-656.299","1334.94","-1182.35","-537.229","1212.43","-1441.01","-757.449","1028.95","-1004","-524.625","872.04","-1370.15","-668.876","145.423","-1308.47","-610.394","485.072","-1408.41","-670.568","1335.91","nan","nan","nan","nan","nan","nan","nan","nan","nan"
58,0,"-903.956","-651.695","1034.47","-1370.05","-532.56","980.052","-1198.52","-545.632","1604.1","-1056.46","-617.119","494.87","-1036.7","-687.422","125.437","-1001.04","-656.227","1334.99","-1182.41","-537.111","1212.52","-1441.07","-757.383","1028.89","-1004.03","-524.531","872.05","-1370.13","-668.86","145.388","-1308.48","-610.294","485.054","-1408.5","-670.505","1335.92","nan","nan","nan","nan","nan","nan","nan","nan","nan"
59,0,"-903.985","-651.563","1034.54","-1370.13","-532.804","980.342","-1198.61","-545.605","1604.1","-1056.44","-617.023","494.951","-1036.72","-687.392","125.464","-1001.13","-656.137","1334.99","-1182.47","-536.991","1212.59","-1441.12","-757.304","1028.87","-1004.08","-524.448","872.07","-1370.13","-668.853","145.356","-1308.5","-610.205","485.103","-1408.54","-670.472","1335.86","nan","nan","nan","nan","nan","nan","nan","nan","nan"
60,0,"-904.004","-651.453","1034.62","-1370.11","-532.239","979.943","-1198.69","-545.593","1604.09","-1056.4","-616.848","495.087","-1036.72","-687.356","125.523","-1001.19","-656.091","1335.07","-1182.51","-536.87","1212.66","-1441.17","-757.178","1028.87","-1004.08","-524.373","872.099","-1370.12","-668.846","145.318","-1308.53","-610.155","485.117","-1408.61","-670.402","1335.87","nan","nan","nan","nan","nan","nan","nan","nan","nan"
61,0,"-904.029","-651.331","1034.65","-1370.19","-532.634","980.36","-1198.75","-545.575","1604.08","-1056.41","-616.766","495.206","-1036.72","-687.287","125.567","-1001.23","-656.07","1335.13","-1182.53","-536.74","1212.73","-1441.22","-757.081","1028.85","-1004.11","-524.302","872.157","-1370.12","-668.858","145.306","-1308.56","-610.137","485.122","-1408.64","-670.357","1335.84","nan","nan","nan","nan","nan","nan","nan","nan","nan"
62,0,"-904.026","-651.207","1034.71","-1370.21","-532.538","980.358","-1198.79","-545.568","1604.08","-1056.42","-616.64","495.308","-1036.77","-687.201","125.63","-1001.28","-656.043","1335.17","-1182.53","-536.605","1212.79","-1441.28","-757.001","1028.83","-1004.15","-524.2","872.205","-1370.12","-668.873","145.284","-1308.58","-610.136","485.131","-1408.68","-670.268","1335.84","nan","nan","nan","nan","nan","nan","nan","nan","nan"
63,0,"-904.009","-651.104","1034.79","-1370.22","-532.453","980.365","-1198.81","-545.556","1604.08","-1056.49","-616.554","495.387","-1036.81","-687.14","125.68","-1001.32","-656.04","1335.21","-1182.52","-536.477","1212.85","-1441.33","-756.858","1028.85","-1004.17","-524.094","872.26","-1370.15","-668.896","145.318","-1308.6","-610.106","485.139","-1408.7","-670.181","1335.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
64,0,"-903.992","-650.985","1034.84","-1370.21","-532.336","980.383","-1198.82","-545.55","1604.1","-1056.54","-616.467","495.441","-1036.87","-687.068","125.68","-1001.31","-656.015","1335.25","-1182.49","-536.345","1212.92","-1441.38","-756.721","1028.88","-1004.18","-523.981","872.327","-1370.16","-668.913","145.31","-1308.61","-610.145","485.127","-1408.68","-670.102","1335.82","nan","nan","nan","nan","nan","nan","nan","nan","nan"
65,0,"-903.925","-650.832","1034.86","-1370.14","-531.829","980.041","-1198.81","-545.548","1604.11","-1056.56","-616.345","495.497","-1036.91","-687.066","125.67","-1001.31","-656.004","1335.28","-1182.44","-536.223","1212.97","-1441.43","-756.609","1028.87","-1004.2","-523.926","872.356","-1370.17","-668.936","145.31","-1308.61","-610.127","485.123","-1408.68","-669.983","1335.84","nan","nan","nan","nan","nan","nan","nan","nan","nan"
66,0,"-903.888","-650.727","1034.88","-1370.15","-531.674","980.048","-1198.79","-545.548","1604.12","-1056.51","-616.099","495.569","-1036.97","-687.091","125.647","-1001.26","-655.963","1335.3","-1182.37","-536.086","1213","-1441.49","-756.49","1028.86","-1004.21","-523.847","872.404","-1370.13","-668.905","145.234","-1308.59","-610.13","485.095","-1408.66","-669.839","1335.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
67,0,"-903.814","-650.641","1034.92","-1370.15","-531.539","980.07","-1198.74","-545.552","1604.13","-1056.38","-615.853","495.628","-1036.94","-687.133","125.673","-1001.16","-655.89","1335.34","-1182.28","-535.949","1213.05","-1441.54","-756.334","1028.88","-1004.18","-523.769","872.448","-1370.18","-668.944","145.288","-1308.55","-610.135","485.054","-1408.59","-669.723","1335.82","nan","nan","nan","nan","nan","nan","nan","nan","nan"
68,0,"-903.737","-650.536","1034.94","-1370.13","-531.346","980.068","-1198.68","-545.533","1604.13","-1056.23","-615.513","495.635","-1037","-687.156","125.618","-1001.09","-655.849","1335.33","-1182.17","-535.816","1213.08","-1441.57","-756.156","1028.9","-1004.14","-523.68","872.491","-1370.15","-668.943","145.268","-1308.5","-610.13","485.006","-1408.55","-669.531","1335.85","nan","nan","nan","nan","nan","nan","nan","nan","nan"
69,0,"-903.647","-650.454","1034.93","-1370.09","-531.159","980.054","-1198.59","-545.518","1604.11","-1056.12","-615.308","495.589","-1037.02","-687.196","125.558","-1000.98","-655.803","1335.33","-1182.04","-535.666","1213.09","-1441.61","-755.873","1028.99","-1004.08","-523.676","872.48","-1370.17","-668.968","145.262","-1308.44","-610.22","484.926","-1408.47","-669.364","1335.82","nan","nan","nan","nan","nan","nan","nan","nan","nan"
70,0,"-903.545","-650.388","1034.9","-1370.03","-530.943","980.05","-1198.48","-545.503","1604.07","-1056.1","-615.084","495.495","-1037.11","-687.179","125.445","-1000.86","-655.741","1335.33","-1181.9","-535.546","1213.06","-1441.64","-755.674","1029.01","-1004","-523.609","872.486","-1370.15","-668.969","145.217","-1308.37","-610.274","484.85","-1408.42","-669.104","1335.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
71,0,"-903.426","-650.38","1034.91","-1369.93","-530.694","980.028","-1198.38","-545.495","1604.08","-1055.97","-614.739","495.402","-1037.17","-687.149","125.297","-1000.77","-655.73","1335.28","-1181.75","-535.432","1213.01","-1441.67","-755.442","1029.03","-1003.9","-523.551","872.488","-1370.16","-668.967","145.218","-1308.29","-610.27","484.86","-1408.31","-668.909","1335.87","nan","nan","nan","nan","nan","nan","nan","nan","nan"
72,0,"-903.27","-650.327","1034.86","-1369.86","-530.49","980.042","-1198.22","-545.491","1604.03","-1055.59","-614.106","495.529","-1037.16","-687.137","125.199","-1000.59","-655.555","1335.24","-1181.61","-535.327","1212.98","-1441.68","-755.214","1029.03","-1003.8","-523.518","872.456","-1370.14","-668.951","145.176","-1308.22","-610.281","484.888","-1408.22","-668.62","1335.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
73,0,"-903.117","-650.263","1034.79","-1369.77","-530.29","980.112","-1198.02","-545.415","1604.01","-1055.36","-613.771","495.518","-1037.19","-687.1","125.137","-1000.51","-655.548","1335.13","-1181.48","-535.212","1212.95","-1441.69","-755.049","1029.01","-1003.67","-523.481","872.425","-1370.15","-668.953","145.168","-1308.15","-610.328","484.856","-1408.08","-668.394","1335.88","nan","nan","nan","nan","nan","nan","nan","nan","nan"
74,0,"-902.97","-650.275","1034.77","-1369.65","-530.063","980.128","-1197.77","-545.329","1603.96","-1055.17","-613.3","495.479","-1037.21","-687.066","125.025","-1000.4","-655.5","1335.02","-1181.3","-535.08","1212.88","-1441.68","-754.758","1029.04","-1003.55","-523.479","872.401","-1370.14","-668.952","145.154","-1308.05","-610.27","484.897","-1407.91","-668.146","1335.89","nan","nan","nan","nan","nan","nan","nan","nan","nan"
75,0,"-902.785","-650.216","1034.7","-1369.5","-529.822","980.148","-1197.49","-545.249","1603.94","-1054.8","-612.574","495.639","-1037.19","-686.987","125.05","-1000.15","-655.293","1334.99","-1181.09","-534.934","1212.78","-1441.65","-754.393","1029.1","-1003.39","-523.443","872.327","-1370.12","-668.963","145.127","-1307.98","-610.246","484.891","-1407.73","-667.83","1335.9","nan","nan","nan","nan","nan","nan","nan","nan","nan"
76,0,"-902.634","-650.164","1034.64","-1369.29","-529.532","980.136","-1197.2","-545.175","1603.92","-1054.52","-612.07","495.59","-1037.17","-686.865","124.965","-999.874","-655.117","1335.01","-1180.86","-534.787","1212.72","-1441.62","-754.064","1029.19","-1003.22","-523.413","872.259","-1370.12","-668.966","145.103","-1307.88","-610.223","484.855","-1407.56","-667.492","1335.98","nan","nan","nan","nan","nan","nan","nan","nan","nan"
77,0,"-902.461","-650.122","1034.58","-1369.09","-529.25","980.146","-1196.93","-545.132","1603.93","-1054.1","-611.326","495.567","-1037.16","-686.708","124.957","-999.666","-655.03","1334.95","-1180.63","-534.639","1212.67","-1441.57","-753.716","1029.27","-1003.04","-523.374","872.194","-1370.1","-668.96","145.08","-1307.81","-610.188","484.782","-1407.35","-667.177","1336.07","nan","nan","nan","nan","nan","nan","nan","nan","nan"
78,0,"-902.285","-650.1","1034.51","-1368.85","-528.966","980.149","-1196.56","-544.998","1603.9","-1053.83","-610.511","495.611","-1037.17","-686.616","124.863","-999.462","-654.996","1334.86","-1180.37","-534.465","1212.66","-1441.52","-753.399","1029.36","-1002.88","-523.349","872.167","-1370.1","-668.957","145.038","-1307.72","-610.129","484.709","-1407.1","-666.935","1336.13","nan","nan","nan","nan","nan","nan","nan","nan","nan"
79,0,"-902.05","-650.001","1034.38","-1368.57","-528.636","980.142","-1196.18","-544.869","1603.87","-1053.4","-609.506","495.695","-1037.17","-686.547","124.767","-999.071","-654.772","1334.9","-1180.12","-534.315","1212.66","-1441.47","-753.027","1029.47","-1002.62","-523.296","872.112","-1370.08","-668.972","145.008","-1307.62","-610.115","484.576","-1406.85","-666.624","1336.25","nan","nan","nan","nan","nan","nan","nan","nan","nan"
80,0,"-901.777","-649.891","1034.27","-1368.31","-528.352","980.168","-1195.75","-544.744","1603.77","-1053.06","-608.544","495.539","-1037.2","-686.417","124.723","-998.754","-654.608","1334.84","-1179.82","-534.137","1212.59","-1441.37","-752.722","1029.55","-1002.41","-523.214","872.029","-1370.06","-668.954","144.959","-1307.52","-610.04","484.44","-1406.56","-666.301","1336.34","nan","nan","nan","nan","nan","nan","nan","nan","nan"
81,0,"-901.528","-649.759","1034.08","-1368.08","-528.131","980.22","-1195.27","-544.596","1603.71","-1052.57","-607.542","495.479","-1037.25","-686.283","124.715","-998.543","-654.641","1334.66","-1179.53","-533.969","1212.59","-1441.28","-752.441","1029.58","-1002.17","-523.117","871.87","-1370.01","-668.914","144.843","-1307.44","-609.996","484.321","-1406.2","-666.05","1336.4","nan","nan","nan","nan","nan","nan","nan","nan","nan"
82,0,"-901.291","-649.814","1034.04","-1367.78","-527.844","980.313","-1194.79","-544.414","1603.67","-1052.09","-606.556","495.459","-1037.3","-686.147","124.635","-998.089","-654.544","1334.69","-1179.19","-533.778","1212.58","-1441.15","-751.997","1029.72","-1001.88","-523.018","871.697","-1370.01","-668.915","144.807","-1307.35","-609.969","484.178","-1405.86","-665.711","1336.49","nan","nan","nan","nan","nan","nan","nan","nan","nan"
83,0,"-901.009","-649.777","1033.88","-1367.46","-527.553","980.396","-1194.26","-544.248","1603.6","-1051.63","-605.28","495.309","-1037.39","-685.983","124.561","-997.748","-654.538","1334.57","-1178.82","-533.604","1212.55","-1441.02","-751.449","1029.89","-1001.71","-523.041","871.494","-1370.02","-668.931","144.791","-1307.29","-609.889","484.09","-1405.43","-665.427","1336.52","nan","nan","nan","nan","nan","nan","nan","nan","nan"
84,0,"-900.645","-649.727","1033.76","-1367.07","-527.22","980.457","-1193.66","-544.031","1603.52","-1051.18","-604.102","495.299","-1037.39","-685.763","124.511","-997.224","-654.253","1334.36","-1178.42","-533.433","1212.53","-1440.88","-751.049","1029.98","-1001.38","-523.043","871.319","-1370","-668.929","144.732","-1307.25","-609.771","484.035","-1404.91","-665.165","1336.52","nan","nan","nan","nan","nan","nan","nan","nan","nan"
85,0,"-900.307","-649.663","1033.51","-1366.62","-526.884","980.584","-1192.99","-543.819","1603.39","-1050.48","-602.828","495.264","-1037.58","-685.382","124.424","-996.79","-654.236","1334.13","-1177.96","-533.243","1212.51","-1440.76","-750.494","1030.17","-1001.07","-523.1","871.156","-1370","-668.935","144.686","-1307.19","-609.645","484.041","-1404.46","-664.758","1336.67","nan","nan","nan","nan","nan","nan","nan","nan","nan"
86,0,"-899.859","-649.555","1033.28","-1366.1","-526.434","980.668","-1192.2","-543.615","1603.22","-1049.95","-601.537","495.198","-1037.66","-685.08","124.32","-996.198","-654.138","1333.96","-1177.46","-533.03","1212.43","-1440.61","-750.017","1030.26","-1000.75","-523.046","871.002","-1369.97","-668.926","144.665","-1307.08","-609.506","483.984","-1403.94","-664.315","1336.84","nan","nan","nan","nan","nan","nan","nan","nan","nan"
87,0,"-899.422","-649.47","1033.03","-1365.5","-525.947","980.852","-1191.43","-543.399","1603.1","-1049.41","-600.262","495.037","-1037.66","-684.892","124.144","-995.626","-654.188","1333.84","-1176.9","-532.817","1212.37","-1440.41","-749.355","1030.39","-1000.36","-522.948","870.836","-1369.95","-668.919","144.639","-1306.91","-609.382","483.879","-1403.38","-663.882","1337.02","nan","nan","nan","nan","nan","nan","nan","nan","nan"
88,0,"-898.99","-649.464","1032.79","-1364.9","-525.523","981.139","-1190.61","-543.185","1602.93","-1048.81","-598.996","494.922","-1037.53","-684.901","123.948","-994.964","-654.039","1333.64","-1176.28","-532.595","1212.32","-1440.2","-748.644","1030.51","-1000","-522.84","870.658","-1369.9","-668.907","144.581","-1306.71","-609.272","483.771","-1402.74","-663.417","1337.12","nan","nan","nan","nan","nan","nan","nan","nan","nan"
89,0,"-898.519","-649.401","1032.48","-1364.2","-524.977","981.444","-1189.72","-542.916","1602.83","-1048.28","-597.618","494.834","-1037.55","-684.678","123.84","-994.259","-653.99","1333.38","-1175.6","-532.375","1212.25","-1440","-747.845","1030.63","-999.582","-522.802","870.529","-1369.84","-668.89","144.515","-1306.55","-609.16","483.739","-1402","-663.002","1337.14","nan","nan","nan","nan","nan","nan","nan","nan","nan"
90,0,"-897.977","-649.375","1032.2","-1363.33","-524.169","981.522","-1188.79","-542.665","1602.61","-1047.6","-596.206","494.711","-1037.6","-684.456","123.764","-993.548","-654.098","1333.13","-1174.8","-532.132","1212.15","-1439.78","-747.169","1030.67","-999.155","-522.737","870.369","-1369.83","-668.917","144.527","-1306.36","-609.135","483.677","-1401.25","-662.474","1337.25","nan","nan","nan","nan","nan","nan","nan","nan","nan"
91,0,"-897.418","-649.379","1031.9","-1362.56","-523.475","981.696","-1187.8","-542.361","1602.41","-1047.07","-594.866","494.55","-1037.62","-684.295","123.515","-992.681","-654.032","1332.95","-1173.97","-531.903","1212.09","-1439.49","-746.267","1030.79","-998.673","-522.657","870.159","-1369.79","-668.911","144.495","-1306.15","-609.141","483.573","-1400.54","-661.846","1337.45","nan","nan","nan","nan","nan","nan","nan","nan","nan"
92,0,"-896.827","-649.408","1031.61","-1361.77","-522.671","981.814","-1186.75","-542.045","1602.3","-1046.51","-593.503","494.483","-1037.67","-683.959","123.395","-991.876","-654.21","1332.69","-1173.05","-531.634","1212.01","-1439.22","-745.438","1030.88","-998.152","-522.535","869.993","-1369.8","-668.956","144.55","-1305.87","-609.122","483.373","-1399.64","-661.316","1337.43","nan","nan","nan","nan","nan","nan","nan","nan","nan"
93,0,"-896.172","-649.461","1031.3","-1360.82","-521.795","981.947","-1185.67","-541.759","1602.12","-1045.82","-592.106","494.313","-1037.58","-683.759","123.145","-990.941","-654.227","1332.36","-1172.04","-531.35","1211.94","-1438.88","-744.502","1030.91","-997.54","-522.389","869.843","-1369.78","-668.954","144.545","-1305.52","-609.018","483.136","-1398.69","-660.684","1337.46","nan","nan","nan","nan","nan","nan","nan","nan","nan"
94,0,"-895.5","-649.388","1030.84","-1359.83","-520.926","982.18","-1184.42","-541.454","1601.87","-1045.34","-590.757","494.285","-1037.51","-683.488","123.112","-989.926","-654.298","1332.15","-1170.98","-531.091","1211.89","-1438.5","-743.297","1031.02","-996.933","-522.162","869.667","-1369.73","-668.907","144.494","-1305.15","-608.948","482.929","-1397.75","-659.987","1337.59","nan","nan","nan","nan","nan","nan","nan","nan","nan"
95,0,"-894.792","-649.558","1030.55","-1358.72","-519.994","982.451","-1183.17","-541.117","1601.65","-1044.71","-589.41","494.112","-1037.44","-683.327","122.983","-988.948","-654.462","1331.84","-1169.79","-530.775","1211.77","-1438.14","-742.255","1031.12","-996.34","-522.111","869.52","-1369.71","-668.858","144.534","-1304.83","-608.805","482.799","-1396.62","-659.355","1337.55","nan","nan","nan","nan","nan","nan","nan","nan","nan"
96,0,"-894.068","-649.627","1030.12","-1357.86","-519.306","983.051","-1181.86","-540.726","1601.49","-1044.12","-588.288","493.914","-1037.34","-683.062","122.983","-987.774","-654.588","1331.56","-1168.55","-530.51","1211.75","-1437.7","-741.143","1031.23","-995.677","-521.93","869.398","-1369.61","-668.847","144.438","-1304.43","-608.789","482.608","-1395.55","-658.509","1337.72","nan","nan","nan","nan","nan","nan","nan","nan","nan"
97,0,"-893.224","-649.635","1029.63","-1356.78","-518.399","983.557","-1180.18","-540.238","1601.1","-1043.55","-587.012","493.746","-1037.19","-682.927","122.849","-986.543","-654.659","1331.27","-1167.17","-530.189","1211.59","-1437.25","-739.853","1031.39","-994.969","-521.746","869.331","-1369.33","-668.786","144.058","-1304.07","-608.672","482.544","-1394.37","-657.664","1337.86","nan","nan","nan","nan","nan","nan","nan","nan","nan"
98,0,"-892.357","-649.818","1029.27","-1355.46","-517.309","983.953","-1178.59","-539.882","1600.82","-1043.01","-585.768","493.67","-1037.12","-682.733","122.758","-985.273","-654.887","1331.02","-1165.77","-529.881","1211.57","-1436.75","-738.553","1031.51","-994.195","-521.738","869.207","-1369.26","-668.764","144.085","-1303.63","-608.386","482.566","-1393.03","-656.864","1337.91","nan","nan","nan","nan","nan","nan","nan","nan","nan"
99,0,"-891.462","-649.829","1028.76","-1353.95","-516.076","984.579","-1176.97","-539.428","1600.71","-1042.46","-584.65","493.384","-1037.02","-682.565","122.682","-983.927","-655.008","1330.69","-1164.31","-529.608","1211.58","-1436.23","-737.039","1031.75","-993.335","-521.558","869.082","-1369.19","-668.77","144.13","-1303.15","-608.325","482.284","-1391.74","-655.916","1338.2","nan","nan","nan","nan","nan","nan","nan","nan","nan"
100,0,"-890.497","-650.078","1028.35","-1352.44","-514.787","985.179","-1175.21","-539.032","1600.51","-1041.89","-583.499","493.244","-1036.91","-682.35","122.624","-982.529","-655.39","1330.5","-1162.76","-529.307","1211.52","-1435.69","-735.499","1031.96","-992.404","-521.408","869.011","-1369.11","-668.787","144.163","-1302.67","-608.344","482.033","-1390.31","-654.92","1338.36","nan","nan","nan","nan","nan","nan","nan","nan","nan"
